Star,29,Ross 614 A,-11.13431104,-7.21103594,-1.43797614,0.17,,,M4.5 V,,13.34315169
Star,29,Ross 614 B,-11.13431104,-7.21103594,-1.43797614,0.1,,,M V,,13.34315169
Star,30,Wolf 1061,12.7223996,0.745129744,5.588969207,0.26,,,M3.5 V,,13.91586313
White Dwarf,31,Van Maanen's Star,-3.979719181,6.398763008,-11.81842523,0.5,,,DZ7,,14.01633004
Star,32,Gliese 1,3.30806406,-0.976528834,-13.73469171,0.48,,,M1.5 V,,14.16116707
Multiple,33,Wolf 424,1.468554149,-4.324286915,13.56333561,,,,,,14.31154015
Star,33,Wolf 424 A,1.468554149,-4.324286915,13.56333561,0.12,,,M5 V,,14.31154015
Star,33,Wolf 424 B,1.468554149,-4.324286915,13.56333561,0.12,,,M V,,14.31154015
Star,34,TZ Arietis,-8.439562585,5.343537619,-10.52275987,0.14,,,M4 V,,14.50889679
Star,35,Gliese 687,-1.877298656,12.40961502,7.83167849,0.39,,,M3 V,,14.7938495
Star,36,LHS 292,-1.741002292,-10.9875067,9.769313975,0.08,,,M6.5 V,,14.80526555
Multiple,37,G 208-044,2.830616776,14.37280199,2.19207498,,,,,,14.8119891
Star,37,G 208-044 A,2.830616776,14.37280199,2.19207498,0.11,,,M5.5 V,,14.8119891
Star,37,G 208-044 B,2.830616776,14.37280199,2.19207498,0.07,,,M V,,14.8119891
Star,37,G 208-045,2.830197144,14.37297979,2.19145094,0.1,,,M6 V,,14.8119891
Star,38,Gliese 674,14.07182451,-4.301175186,-1.74874814,0.36,,,M2.5 V,,14.81804552
White Dwarf,39,WD 1142-645,6.611484859,-13.54547191,-0.751881037,0.5,,,DQ6,,15.09161577
Star,40,Ross 780,4.733248153,6.05916696,-13.12088589,0.27,,,M3.5 V,,15.20772136
Star,41,Gliese 1002,-0.249865203,5.798424967,-14.17017584,0.11,,,M5 V,,15.31267606
Star,42,LHS 288,4.86352885,-14.7635316,-0.547896109,0.11,,,M5.5 V,,15.55364807
